Date : 2022-07-02 15:19:38
Directory : /home/lin/OdinProject/course-management-system
Total : 115 files,  41108 codes, 313 comments, 1182 blanks, all 42603 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| XML                |          4 |     15,485 |          0 |          3 |     15,488 |
| JSON               |          4 |     14,588 |          0 |          4 |     14,592 |
| TypeScript React   |         63 |      7,751 |         74 |        547 |      8,372 |
| CSS                |          1 |      1,688 |        217 |        331 |      2,236 |
| TypeScript         |         27 |      1,259 |         11 |        246 |      1,516 |
| SCSS               |         11 |        242 |          1 |         19 |        262 |
| Markdown           |          2 |         42 |          0 |         23 |         65 |
| JavaScript         |          1 |         29 |         10 |          7 |         46 |
| JSON with Comments |          2 |         24 |          0 |          2 |         26 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                    |        115 |     41,108 |        313 |      1,182 |     42,603 |
| components                                                                                           |         34 |      3,245 |         27 |        235 |      3,507 |
| components/common                                                                                    |          6 |        248 |          2 |         16 |        266 |
| components/course                                                                                    |         10 |        950 |          7 |         67 |      1,024 |
| components/home                                                                                      |          1 |        109 |          2 |         10 |        121 |
| components/layout                                                                                    |          5 |        485 |          2 |         41 |        528 |
| components/message                                                                                   |          2 |        385 |          0 |         26 |        411 |
| components/statistics                                                                                |          6 |        518 |          3 |         41 |        562 |
| components/student                                                                                   |          2 |        261 |          0 |         14 |        275 |
| components/teachers                                                                                  |          2 |        289 |         11 |         20 |        320 |
| hooks                                                                                                |          1 |         52 |          0 |         11 |         63 |
| lib                                                                                                  |         23 |      1,195 |          6 |        227 |      1,428 |
| lib/constants                                                                                        |          4 |        242 |          0 |         35 |        277 |
| lib/model                                                                                            |          8 |        563 |          3 |        120 |        686 |
| lib/request                                                                                          |          8 |        318 |          3 |         61 |        382 |
| lib/util                                                                                             |          3 |         72 |          0 |         11 |         83 |
| pages                                                                                                |         37 |      4,584 |         49 |        315 |      4,948 |
| pages/api                                                                                            |          1 |         10 |          1 |          3 |         14 |
| pages/dashboard                                                                                      |         30 |      3,028 |         47 |        267 |      3,342 |
| pages/dashboard/manager                                                                              |         11 |        892 |          0 |         85 |        977 |
| pages/dashboard/manager/courses                                                                      |          5 |        249 |          0 |         30 |        279 |
| pages/dashboard/manager/courses/add-course                                                           |          1 |         80 |          0 |         10 |         90 |
| pages/dashboard/manager/courses/edit-course                                                          |          1 |         75 |          0 |          9 |         84 |
| pages/dashboard/manager/message                                                                      |          1 |         42 |          0 |          4 |         46 |
| pages/dashboard/manager/students                                                                     |          2 |        216 |          0 |         18 |        234 |
| pages/dashboard/manager/teachers                                                                     |          2 |        174 |          0 |         19 |        193 |
| pages/dashboard/student                                                                              |          8 |      1,080 |          8 |        100 |      1,188 |
| pages/dashboard/student/courses                                                                      |          3 |        150 |          8 |         12 |        170 |
| pages/dashboard/student/courses/own                                                                  |          1 |        141 |          8 |          8 |        157 |
| pages/dashboard/student/message                                                                      |          1 |          1 |          0 |          1 |          2 |
| pages/dashboard/student/profile                                                                      |          1 |        370 |          0 |         31 |        401 |
| pages/dashboard/student/schedule                                                                     |          2 |        287 |          0 |         32 |        319 |
| pages/dashboard/teacher                                                                              |         10 |      1,053 |         39 |         81 |      1,173 |
| pages/dashboard/teacher/courses                                                                      |          4 |        190 |          0 |         14 |        204 |
| pages/dashboard/teacher/courses/add-course                                                           |          1 |          1 |          0 |          1 |          2 |
| pages/dashboard/teacher/courses/edit-course                                                          |          1 |          1 |          0 |          1 |          2 |
| pages/dashboard/teacher/message                                                                      |          1 |          1 |          0 |          1 |          2 |
| pages/dashboard/teacher/profile                                                                      |          1 |        609 |         32 |         44 |        685 |
| pages/dashboard/teacher/schedule                                                                     |          1 |          1 |          0 |          1 |          2 |
| pages/dashboard/teacher/students                                                                     |          2 |        142 |          7 |         10 |        159 |
| providers                                                                                            |          2 |        140 |          0 |         17 |        157 |
| public                                                                                               |          6 |     22,500 |        217 |        335 |     23,052 |
| public/css                                                                                           |          1 |      1,688 |        217 |        331 |      2,236 |
| public/fonts                                                                                         |          3 |     15,481 |          0 |          3 |     15,484 |
| styles                                                                                               |          3 |         36 |          0 |          5 |         41 |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                             | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/lin/OdinProject/course-management-system/.eslintrc.json                                        | JSON with Comments |          4 |          0 |          1 |          5 |
| /home/lin/OdinProject/course-management-system/.prettierrc.json                                      | JSON               |          4 |          0 |          1 |          5 |
| /home/lin/OdinProject/course-management-system/README.md                                             | Markdown           |         20 |          0 |         15 |         35 |
| /home/lin/OdinProject/course-management-system/Step by Step.md                                       | Markdown           |         22 |          0 |          8 |         30 |
| /home/lin/OdinProject/course-management-system/components/common/backTop.module.scss                 | SCSS               |         31 |          0 |          1 |         32 |
| /home/lin/OdinProject/course-management-system/components/common/backTop.tsx                         | TypeScript React   |         22 |          0 |          2 |         24 |
| /home/lin/OdinProject/course-management-system/components/common/debouncedSearchSelect.tsx           | TypeScript React   |         46 |          2 |          5 |         53 |
| /home/lin/OdinProject/course-management-system/components/common/detailAboutInfo.tsx                 | TypeScript React   |         21 |          0 |          1 |         22 |
| /home/lin/OdinProject/course-management-system/components/common/detailInfoCard.tsx                  | TypeScript React   |         39 |          0 |          2 |         41 |
| /home/lin/OdinProject/course-management-system/components/common/editableText.tsx                    | TypeScript React   |         89 |          0 |          5 |         94 |
| /home/lin/OdinProject/course-management-system/components/course/classScheduleTable.tsx              | TypeScript React   |         38 |          0 |          4 |         42 |
| /home/lin/OdinProject/course-management-system/components/course/courseCard.module.scss              | SCSS               |         15 |          0 |          1 |         16 |
| /home/lin/OdinProject/course-management-system/components/course/courseCard.tsx                      | TypeScript React   |         77 |          0 |         11 |         88 |
| /home/lin/OdinProject/course-management-system/components/course/courseDetailCard.module.scss        | SCSS               |         23 |          0 |          1 |         24 |
| /home/lin/OdinProject/course-management-system/components/course/courseDetailCard.tsx                | TypeScript React   |         88 |          7 |         12 |        107 |
| /home/lin/OdinProject/course-management-system/components/course/courseDetailForm.module.scss        | SCSS               |         17 |          0 |          1 |         18 |
| /home/lin/OdinProject/course-management-system/components/course/courseDetailForm.tsx                | TypeScript React   |        389 |          0 |         18 |        407 |
| /home/lin/OdinProject/course-management-system/components/course/courseListScrollMode.module.scss    | SCSS               |          5 |          0 |          1 |          6 |
| /home/lin/OdinProject/course-management-system/components/course/courseListScrollMode.tsx            | TypeScript React   |         58 |          0 |          5 |         63 |
